,height,text,text_date,Date,Total Prism
0,12000000,20%,2022-05-16,2022-05-17,26000000.0
1,12000000,30%,2022-06-21,2022-06-22,38821917.80821918
2,12000000,50%,2022-09-02,2022-09-03,64821917.80821918
3,12000000,100%,2023-03-04,2023-03-05,130000000.0
4,12000000,17.26%,2022-05-06,2022-05-07,22438356.16438356
